t,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang
32,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
33,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
34,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
35,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
36,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
37,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
38,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
39,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
40,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
41,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
