Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
12,8725.859219,14253.82463,204228.1862,136979.2132,55261.01349,88236.18668,55756.02425,75869.20225,6275.659491,149549.1728,109629.3507,235154.9675,88022.85568,207697.4039,273038.8249,465871.4076,145769.2789,222903.9689,344191.9622,239450.584,37175.51558,101284.5876,398005.2246,286283.9874,280180.2354,19274.35222,132269.3618,150754.5965,27018.47461,31287.16577,102738.5523,M,R
13,8601.951173,14051.41894,201328.1261,135034.0951,54476.30175,86983.22428,54964.28331,74791.85223,6186.544518,147425.56,108072.6033,231815.7442,86772.9226,204748.0806,269161.6471,459255.9885,143699.341,219738.7109,339304.403,236050.3625,36647.61966,99846.33664,392353.5118,282218.727,276201.6489,19000.65455,130391.1241,148613.8666,26634.80965,30842.88498,101279.6549,M,R
14,8853.048896,14461.59091,207205.0526,138975.8466,56066.50786,89522.33303,56568.73399,76975.08524,6367.13462,151729.0281,111227.3276,238582.6282,89305.89248,210724.8382,277018.6874,472662.0321,147894.0378,226153.0568,349208.9655,242940.8583,37717.39251,102760.9298,403806.6195,290456.9137,284264.1924,19555.29861,134197.3436,152952.0223,27412.3007,31743.21306,104236.0877,M,R
15,17445.60381,20266.98945,289497.0138,175684.6017,66098.87966,101569.8831,78714.28849,93211.33954,13363.3239,210349.495,121754.9683,261115.0382,114665.9405,193809.1486,249426.4405,458644.3637,227685.1747,214274.4325,369228.6392,197182.3102,44331.74933,87930.67123,399138.7756,195072.1982,251747.7792,20325.18457,201033.965,187457.259,28838.91512,31518.04602,117088.5818,M,R
16,15990.22316,18576.23775,265346.0382,161028.3036,60584.65203,93096.52533,72147.63401,85435.28424,12248.50304,192801.3156,111597.6916,239331.7982,105100.0583,177640.8298,228618.3092,420382.4531,208690.7849,196398.8195,338426.1389,180732.589,40633.42104,80595.14998,365841.0545,178798.5108,230745.9927,18629.578,184262.9237,171818.8397,26433.05978,28888.68708,107320.5934,M,R
17,16734.41047,19440.77855,277695.2814,168522.5843,63404.27054,97429.25115,75505.39539,89411.45479,12818.55015,201774.3169,116791.4644,250470.3349,109991.4303,185908.2598,239258.2385,439947.1136,218403.2844,205539.2491,354176.5406,189143.91,42524.50636,84346.05997,382867.3503,187119.8195,241484.9447,19496.60127,192838.5469,179815.3135,27663.25822,30233.17078,112315.3094,M,R
18,16765.85325,19477.30641,278217.0512,168839.2263,63523.4027,97612.31385,75647.26471,89579.45261,12842.6353,202153.4366,117010.9073,250940.951,110198.0964,186257.5683,239707.7879,440773.7433,218813.6488,205925.4429,354842.0134,189499.298,42604.40691,84504.54028,383586.7311,187471.4045,241938.6779,19533.23401,193200.877,180153.1738,27715.23554,30289.97677,112526.3419,M,R
19,17205.81323,19988.41881,285517.8649,173269.8093,65190.34772,100173.8007,77632.35722,91930.14568,13179.64443,207458.2322,120081.441,257526.0008,113089.8522,191145.2335,245998.0634,452340.2772,224555.6322,211329.2213,364153.5757,194472.0309,43722.40754,86722.06038,393652.596,192390.9225,248287.4952,20045.81404,198270.7445,184880.6509,28442.52299,31084.82912,115479.1942,M,R
20,39976.87655,28132.94167,476917.3762,186369.3502,98784.17103,143424.2972,132781.5388,158524.1154,31971.4315,286486.5633,165932.5686,232745.3082,145359.1263,234553.0666,507730.7873,630183.6476,268396.9907,348763.1237,314425.3028,209079.0164,44661.70424,64597.39624,397133.8496,152817.9282,298498.3272,25107.2239,232191.4723,165875.0272,30712.71372,31714.89283,151309.8644,M,R
21,36574.02334,25738.25056,436321.9128,170505.4909,90375.6093,131215.944,121479.1028,145030.4575,29250.00607,262100.673,151808.2992,212933.9024,132986.0793,214587.7835,464512.4698,576542.0769,245550.8946,319076.2192,287661.252,191282.0982,40860.07597,59098.83116,363329.6029,139809.984,273089.9892,22970.08351,212427.2094,151755.6558,28098.43103,29015.30411,138430.2874,M,R
