Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
90,0.116994174,0.11915123,0.15357643,0.15357643,0.15357643,0.140623073,0.095443315,0.096158745,0.15357643,0.153848697,0.15761352,0.12574767,0.151976176,0.133096245,0.140718991,0.100040535,0.124296761,0.113888036,0.141160524,0.086356611,0.070219903,0.11071974,0.10176714,0.116675572,0.157057095,0.15357643,0.15357643,0.107573348,0.15357643,0.15357643,0.06424146,F,U
91,0.13614698,0.138444339,0.177599257,0.177599257,0.177599257,0.163753178,0.111291534,0.111960268,0.177599257,0.178373705,0.182712417,0.145604505,0.176171681,0.154000878,0.162883737,0.115973135,0.144404354,0.131453441,0.164006595,0.100019335,0.081589543,0.128303312,0.117836491,0.135263292,0.182154333,0.177599257,0.177599257,0.1244658,0.177599257,0.177599257,0.074672637,F,U
92,0.142065242,0.144535374,0.186339453,0.186339453,0.186339453,0.171093668,0.116430639,0.117151897,0.186339453,0.186845047,0.191417211,0.152804225,0.18462487,0.161564242,0.170683987,0.121660596,0.151168228,0.137965896,0.171646215,0.105008168,0.085626472,0.134398921,0.12355382,0.141882831,0.191223003,0.186339453,0.186339453,0.130335384,0.186339453,0.186339453,0.078183903,F,U
93,0.155555183,0.158030824,0.201927018,0.201927018,0.201927018,0.187098993,0.127206389,0.127863539,0.201927018,0.203187816,0.208105573,0.165655757,0.200634039,0.1751542,0.185358246,0.13204264,0.16470185,0.149290806,0.187078298,0.113796018,0.093000262,0.146110446,0.134097188,0.154013544,0.207405237,0.201927018,0.201927018,0.141635868,0.201927018,0.201927018,0.085188448,F,U
94,0.161458233,0.163886134,0.207271161,0.207271161,0.207271161,0.193618199,0.131231718,0.131888236,0.207271161,0.209234796,0.214236023,0.169918062,0.206396415,0.179810901,0.190767617,0.135529439,0.169779739,0.153185326,0.192949918,0.116612052,0.095330149,0.150466484,0.1378183,0.158113876,0.212529545,0.207271161,0.207271161,0.146005262,0.207271161,0.207271161,0.087773177,F,U
95,0.198169385,0.147479077,0.227225221,0.227225221,0.227225221,0.216258396,0.122671069,0.137645578,0.227225221,0.226482948,0.247022709,0.162412408,0.214777946,0.194555663,0.198902882,0.135637518,0.140493568,0.152813368,0.227176192,0.126121156,0.150838978,0.138791371,0.146129602,0.170008071,0.183217195,0.227225221,0.227225221,0.110048473,0.227225221,0.227225221,0.103357167,F,U
96,0.19858138,0.147473941,0.226036005,0.226036005,0.226036005,0.216325749,0.122714857,0.137645422,0.226036005,0.225372595,0.246226045,0.161177605,0.213682889,0.19303077,0.19803695,0.13464121,0.140263986,0.151276381,0.226635607,0.125130374,0.149616816,0.137900564,0.14511972,0.168437987,0.182334591,0.226036005,0.226036005,0.109351235,0.226036005,0.226036005,0.103093116,F,U
97,0.190272118,0.141540973,0.216826645,0.216826645,0.216826645,0.207337879,0.117426256,0.131746939,0.216826645,0.216445932,0.23604815,0.154900854,0.205132697,0.185581186,0.190061895,0.129413255,0.134393451,0.145736286,0.217343329,0.120231123,0.143897012,0.132685648,0.139496477,0.162211971,0.174756981,0.216826645,0.216826645,0.105208424,0.216826645,0.216826645,0.098915863,F,U
98,0.182458772,0.135141897,0.200890409,0.200890409,0.200890409,0.197220066,0.110986069,0.124413787,0.200890409,0.201883181,0.220522543,0.142785528,0.190795313,0.1711064,0.177294791,0.119518143,0.126350191,0.133884325,0.204266573,0.110573709,0.132690284,0.123697416,0.129180009,0.149472237,0.161706812,0.200890409,0.200890409,0.098096354,0.200890409,0.200890409,0.093069195,F,U
99,0.176603671,0.130963464,0.196828584,0.196828584,0.196828584,0.191437038,0.108016115,0.121115863,0.196828584,0.19727496,0.215442929,0.140103649,0.186645789,0.167865753,0.173265234,0.117189695,0.123171824,0.131465975,0.199115838,0.108591953,0.130161154,0.120848909,0.12653678,0.146621605,0.158537946,0.196828584,0.196828584,0.095833556,0.196828584,0.196828584,0.090676033,F,U
