,    Beijin,   Tianjin,    Hebei,   Shanxi1,  Neimenggu,   Liaoning,    Jilin, Heilongjiang,   Shanghai,   Jiangsu,   Zhejiang,    Anhui,    Fujian,   Jiangxi,   Shandong,    Henan,    Hubei,    Hunan,  Guangdong,   Guagnxi,    Hainan,  Chongqing,   Sichuan,   Guizhou,    Yunnan,    Xizang,    Shanxi,    Gansu,   Qinghai,   Ningxia,   Xinjiang
1,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
2,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
3,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
4,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
5,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
6,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
7,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
8,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
9,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
10,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
11,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
12,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
13,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
14,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
15,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
16,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
17,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
18,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
19,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
20,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
21,0.192532299,0.149259686,0.138285969,0.209910813,0.194782385,0.17314695,0.206199424,0.217316706,0.192409056,0.118624093,0.115714744,0.209364909,0.115021795,0.203492444,0.105821763,0.147933775,0.156654628,0.168505221,0.117826113,0.209782807,0.281588762,0.215635953,0.247766137,0.354503103,0.316398539,1.08587869,0.219176607,0.35638658,0.550491325,0.329967745,0.312444942
